x,y,cw,cbh,ht,output,id
608.3,161.1,2.4,3.4,6,.TRUE.,TREE193
608.3,143,1.8,3.2,6.9,.TRUE.,TREE194
608.6,168.3,3.9,8.8,16.3,.TRUE.,TREE195
608.6,295,2,3.5,7.7,.TRUE.,TREE196
608.8,235.1,4.2,6.1,14.3,.TRUE.,TREE197
608.8,143.7,3,3.7,7.7,.TRUE.,TREE198
608.8,173.4,2.6,4.2,9.5,.TRUE.,TREE199
608.8,227.3,3.5,3.6,12.2,.TRUE.,TREE200
608.9,181.5,2.7,5.6,17,.TRUE.,TREE201
609.1,232.9,2.4,4,8.9,.TRUE.,TREE202
609.1,135.2,4,5.9,13.7,.TRUE.,TREE203
609.1,235.7,3.4,5.1,11.8,.TRUE.,TREE204
609.1,187.4,1.6,3.1,6.4,.TRUE.,TREE205
609.2,209.6,4.2,9.1,17.9,.TRUE.,TREE206
609.2,215.6,1.3,2.6,5.2,.TRUE.,TREE207
609.2,208.8,3.4,5.1,11.8,.TRUE.,TREE208
609.2,136.8,4.4,6.4,15.1,.TRUE.,TREE209
609.4,163.4,3.8,5.7,13.3,.TRUE.,TREE210
609.4,107.1,3.6,5.4,12.6,.TRUE.,TREE211
609.5,164.5,3.1,4.8,11,.TRUE.,TREE212
609.9,238.6,3.6,5.5,12.6,.TRUE.,TREE213
609.9,126.1,6.3,8.7,21,.TRUE.,TREE214
610,187.1,8.1,11.8,19.2,.TRUE.,TREE215
610,224.4,2.9,4.6,10.5,.TRUE.,TREE216
610.1,292.6,2.5,3.5,11.3,.TRUE.,TREE217
610.2,159.6,4,4.7,7.2,.TRUE.,TREE218
610.2,223.1,2.8,3.1,6.5,.TRUE.,TREE219
610.2,164.4,1.5,2.9,6,.TRUE.,TREE220
610.5,204.7,4.3,6.2,14.6,.TRUE.,TREE221
610.5,113.4,2.7,4.3,9.7,.TRUE.,TREE222
610.6,281.1,2.4,3.9,8.7,.TRUE.,TREE223
610.6,153.5,2.6,4.7,9.2,.TRUE.,TREE224
610.9,237.8,2.8,4.4,10,.TRUE.,TREE225
610.9,103.3,3.8,5.7,13.2,.TRUE.,TREE226
610.9,167.7,2.3,3.8,8.4,.TRUE.,TREE227
610.9,182.3,5.5,10.2,18.6,.TRUE.,TREE228
611,143.9,4.8,6.9,16.2,.TRUE.,TREE229
611.1,188.1,2.5,4.1,9.1,.TRUE.,TREE230
611.2,163.2,3.3,10.8,17.1,.TRUE.,TREE231
611.3,173.3,1.1,0.7,4.6,.TRUE.,TREE232
611.5,297.5,1.8,3.2,6.9,.TRUE.,TREE233
611.5,210.4,1.8,3.2,6.8,.TRUE.,TREE234
611.5,157.1,1.7,3.1,6.6,.TRUE.,TREE235
611.6,139,2.8,4.5,10.2,.TRUE.,TREE236
611.6,295.4,2.5,2.3,8.9,.TRUE.,TREE237
611.6,178,2.8,4.4,10,.TRUE.,TREE238
611.7,174.8,3.4,5.5,13.3,.TRUE.,TREE239
611.7,224.6,1.6,3,6.2,.TRUE.,TREE240
611.7,289.4,2.2,3.7,8.1,.TRUE.,TREE241
611.7,232.8,3.6,5.5,12.6,.TRUE.,TREE242
611.7,177,2.9,4.6,10.4,.TRUE.,TREE243
611.7,175.4,2.4,4,8.9,.TRUE.,TREE244
611.7,233,1.9,3.4,7.3,.TRUE.,TREE245
611.8,105.7,1.7,3.2,6.7,.TRUE.,TREE246
611.8,157.1,2.5,5.5,8.9,.TRUE.,TREE247
611.8,129.5,5,7.2,17,.TRUE.,TREE248
611.9,239.2,3.1,4.8,11,.TRUE.,TREE249
611.9,255.3,4.4,8.4,17.1,.TRUE.,TREE250
612,160.3,7.3,11.5,19.1,.TRUE.,TREE251
612,163.9,2.2,5,9.4,.TRUE.,TREE252
612.1,271.6,4.1,6,14.1,.TRUE.,TREE253
612.1,289.6,3.3,5.1,11.7,.TRUE.,TREE254
612.2,230.1,3.1,6,13.4,.TRUE.,TREE255
612.2,168.5,3.1,10.2,15.8,.TRUE.,TREE256
612.3,231.6,4.4,6.5,16.8,.TRUE.,TREE257
612.3,166.7,2.8,4.5,10.2,.TRUE.,TREE258
612.4,227.7,1.6,6.2,11.8,.TRUE.,TREE259
612.4,157.6,1.8,3.3,7.1,.TRUE.,TREE260
612.4,104.3,3.2,5,11.3,.TRUE.,TREE261
612.5,252.7,5.5,3.7,15.3,.TRUE.,TREE262
612.5,209.3,4.8,8.9,17.4,.TRUE.,TREE263
612.8,138.5,4.2,6.1,14.4,.TRUE.,TREE264
612.8,167,2,3.5,7.7,.TRUE.,TREE265
612.9,147.1,4.5,6.6,15.5,.TRUE.,TREE266
613,140.5,4.9,7.1,16.8,.TRUE.,TREE267
613.1,242.1,8.4,11.3,14.2,.TRUE.,TREE268
613.1,289.9,2,3.5,7.7,.TRUE.,TREE269
613.2,142,2.3,2,8.8,.TRUE.,TREE270
613.2,105.9,5.5,7.7,18.4,.TRUE.,TREE271
613.2,154,1.5,1.1,5.8,.TRUE.,TREE272
613.2,222.3,3.9,5.8,13.5,.TRUE.,TREE273
613.4,154.6,1.9,3.4,7.3,.TRUE.,TREE274
613.4,152.6,1.1,0.7,4.7,.TRUE.,TREE275
613.5,266.9,4,1.9,7.1,.TRUE.,TREE276
613.5,166,3.5,10.2,15.6,.TRUE.,TREE277
613.5,282,2.2,3.5,11.2,.TRUE.,TREE278
613.5,176,2.3,9.2,14.3,.TRUE.,TREE279
613.6,286.6,4.5,6.6,12.7,.TRUE.,TREE280
613.7,230.6,5.1,7.3,13.4,.TRUE.,TREE281
613.8,173.5,1.3,2.6,5.2,.TRUE.,TREE282
613.9,281.3,2.2,3.5,11.2,.TRUE.,TREE283
